Make,Model,Year,Color,Mileage,Transmission,Fuel,Price,Location,Date,URL
Peugeot,406,2002,,,Manuelle,Essence,"2 350 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/e196a00dbd5f048ef59436c.desktop-gallery-large.jpg
BMW,6,2002,,,Manuelle,Essence,"1 850 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Peugeot,307,2004,,0000,Automatique,Essence,"2 000 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/1ef871feb15f04908ce85d6.desktop-gallery-large.jpg
Toyota,RAV4,2005,,105000,Automatique,Essence,"6 300 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/b0266dbc165f0488ff0d5f3.desktop-gallery-large.jpg
Mazda,CX-7,2016,,,Automatique,Essence,"12 800 000
FCFA",Angré,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Honda,Accord,2000,,,Manuelle,Essence,"1 500 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Renault,Laguna,2007,,164000,Automatique,Essence,"1 700 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/d73e7b23b25f048ff357704.desktop-gallery-large.jpg
Toyota,Hilux,2000,,,Manuelle,Diesel,"2 700 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Volkswagen,Jetta,2007,,100200,Automatique,Essence,"3 699 900
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/4dfe3287c25f049117011e3.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Kia,Sportage,2008,,145000,Automatique,Essence,"5 000 000
FCFA",Riviera,07/07,https://media.jumiadeals.com/ci_live/8ead1af9c65f04978d4e787.desktop-gallery-large.jpg
Mazda,CX-7,2016,,,Automatique,Essence,"12 800 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/5835c7f4b55f048c10452c7.desktop-gallery-large.jpg
Mercedes,C -class,2008,,95000,Automatique,Essence,"6 500 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/dd924316005f0489490beab.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Kia,Sportage,2008,,145000,Automatique,Essence,"5 000 000
FCFA",Riviera,07/07,https://media.jumiadeals.com/ci_live/8ead1af9c65f04978d4e787.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Mercedes,C -class,2002,,,Manuelle,Essence,"3 300 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/6e74a22a845f0489d3a0529.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Mazda,323,2003,,,Manuelle,Diesel,"1 350 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Nissan,Harbody,2005,,169000,Manuelle,Diesel,"4 699 900
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/9844f8dc045f0485ed7724d.desktop-gallery-large.jpg
Citroen,Berlingo,2012,,118000,Automatique,Essence,"8 300 000
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/b737f4aed15f0488173e5ef.desktop-gallery-large.jpg
BMW,3,1999,,180000,Automatique,Essence,"3 750 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/7b435719ca5f0485459b0ad.desktop-gallery-large.jpg
Renault,Duster,2013,,180000,Manuelle,Essence,"4 550 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/b19e7bbda15f048954e87b6.desktop-gallery-large.jpg
Rover,Z3M,2015,,14,Automatique,Essence,"12 000 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Ford,Fiesta,2015,,,Automatique,Essence,"8 300 000
FCFA",Riviera,07/07,https://media.jumiadeals.com/ci_live/e2db65a4645f0488a3e45d3.desktop-gallery-large.jpg
Toyota,Corolla,2002,,180000,Manuelle,Essence,"2 850 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/32ee633a9e5f0489609c645.desktop-gallery-large.jpg
Renault,Kangoo,2002,,,Manuelle,Diesel,"2 700 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/89c75f2c495f048c7689b6a.desktop-gallery-large.jpg
Honda,CR-V,2001,,,Manuelle,Essence,"4 500 000
FCFA",Abobo,07/07,https://media.jumiadeals.com/ci_live/a34434ac585f048abf2d5d2.desktop-gallery-large.jpg
BMW,6,2000,,,Manuelle,Essence,"2 500 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/4bfe1b5fd15f04859e56205.desktop-gallery-large.jpg
Ford,Escape,2015,,100000,Automatique,Essence,"9 800 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/7e084b66025f048a9dbb690.desktop-gallery-large.jpg
Citroen,Berlingo,2015,,,Manuelle,Essence,"3 500 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/8d090f91b65f048ab6e8f82.desktop-gallery-large.jpg
Nissan,Harbody,2005,,159000,Manuelle,Diesel,"4 699 900
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/9844f8dc045f0485ed7724d.desktop-gallery-large.jpg
Toyota,Yaris,2002,,125000,,Essence,"3 900 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Fiat,Ducato,2000,,155000,Manuelle,Essence,"3 300 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/36f37aecfd5f0489da20d41.desktop-gallery-large.jpg
Mercedes,C -class,2002,,120000,Automatique,Essence,"3 600 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/00a0435a455f048ae6ee334.desktop-gallery-large.jpg
Peugeot,307,2003,,,Manuelle,Diesel,"700 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Ford,Fiesta,2015,,,Automatique,Essence,"8 300 000
FCFA",Riviera,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Honda,CR-V,2009,,98000,Automatique,Essence,"8 488 000
FCFA",Marcory,07/07,https://media.jumiadeals.com/ci_live/d310e8e4a85f048869008bb.desktop-gallery-large.jpg
Lancia,Zeta,2008,,118000,Automatique,Essence,"8 300 000
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/43c59dde515f048aa27b274.desktop-gallery-large.jpg
Toyota,Yaris,2006,,,Manuelle,Essence,"2 500 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,6,2002,,,Manuelle,Essence,"2 500 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/bf30107b275f048b0c47b31.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Toyota,Yaris,2002,,125000,,Essence,"3 900 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/9fa98960365f048ba2a11d3.desktop-gallery-large.jpg
BMW,6,2000,,,Manuelle,Essence,"2 500 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/4bfe1b5fd15f04859e56205.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Ford,Fiesta,2015,,,Automatique,Essence,"8 300 000
FCFA",Riviera,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mercedes,C -class,2003,,,Automatique,Diesel,"1 600 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/754f5c6a7b5f04856a9668a.desktop-gallery-large.jpg
Ford,Bronco,2009,,120000,Automatique,Essence,"8 300 000
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/d01beee7335f04864dcf7a2.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Audi,A3,2000,,,Manuelle,Essence,"1 500 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Rover,Z3M,2015,,14,Automatique,Essence,"12 000 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Toyota,Corolla,2001,,123,Manuelle,Essence,"3 300 000
FCFA",Abidjan,07/07,https://media.jumiadeals.com/ci_live/1da51660a35f0466086c501.desktop-gallery-large.jpg
Honda,CR-V,2008,,98000,Automatique,Essence,"6 400 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/7b43d9bc075f0440ae2c402.desktop-gallery-large.jpg
Peugeot,307,2003,,,Manuelle,Diesel,"1 350 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
BMW,X6,2002,,,Automatique,Essence,"4 000 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/ab493259af5f047e241121b.desktop-gallery-large.jpg
Toyota,Yaris,2002,,121000,Manuelle,Essence,"2 900 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/d1052357235f0468df91374.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
